net,length_um
_119_,256.1
_101_,244.36
_107_,237.3
_153_,235.39
_106_,234.18
_151_,220.08
_103_,215.56
_158_,206.87
_104_,205.89
_118_,205.8
_156_,202.51
net6,201.12
_112_,199.16
net18,195.14
net15,191.11
net17,185.55
net7,182.65
net14,182.45
net3,176.61
net10,173.66
_008_,165.7
_026_,165.61
net19,165.31
_100_,165.075
_023_,164.42
net8,160.31
net13,159.32
_114_,146.05
_126_,145.66
net9,141.18
_011_,141.11
_056_,138.65
_166_,135.735
_167_,134.75
net5,134.58
_150_,133.24
_002_,133.1
net1,132.77
_099_,132.65
_116_,131.98
_043_,130.34
_015_,129.58
net2,128.88
_012_,127.38
_111_,125.7
net16,125.16
net11,124.24
_169_,124.18
net26,123.54
_113_,123.14
_159_,123.02
_098_,122.22
_128_,120.66
net21,120.175
_027_,117.9
_122_,116.52
_020_,116.51
_067_,116.5
_097_,116.19
_162_,115.43
_090_,114.52
net4,113.34
_001_,113.27
_033_,111
_089_,110.02
_117_,109.04
_005_,106.78
_146_,105.91
_053_,105.88
net12,103.73
_017_,103.26
_155_,102.91
_003_,101.56
_025_,99.49
_138_,99.28
_134_,98.36
_038_,97.36
net24,95.96
_115_,95.14
_123_,95.05
net30,94.23
_105_,93.75
_125_,92.78
_127_,92.09
_018_,91.78
_072_,91.04
_124_,90.77
_048_,90.74
_129_,90.03
net22,88.1
_133_,87.8
_132_,87.17
_140_,84
_036_,83.24
_066_,83.04
net23,82.78
_143_,82.68
_013_,81.56
_078_,81.5
_160_,80.97
_079_,80.9
_073_,80.84
_000_,80.76
_095_,80.545
_148_,80.08
_070_,78.58
_014_,76.9
_050_,76.68
net27,76.54
_139_,76.25
_028_,75.9
_084_,75.82
_059_,75.66
net28,75.42
_157_,74.94
net20,74.56
_080_,73.26
_039_,73.1
_152_,72.94
_009_,72.48
_065_,72.44
_077_,72.24
_041_,71.02
_168_,70.66
_035_,69.84
_019_,68.58
_137_,68.18
_102_,67.48
_108_,67.32
_092_,67.26
_058_,67.14
_030_,67.06
_093_,66.76
_007_,66.32
_145_,66
_052_,64.84
_136_,63.88
_165_,63.4
_042_,63.02
_063_,62.58
_121_,62
_083_,61.22
_034_,59.88
_049_,59.82
_142_,59.22
_135_,57.76
_037_,57.3
_068_,56.84
_022_,56.64
_057_,55.66
_130_,54.9
_085_,54.7
_141_,54.34
net29,54.16
_054_,53.85
_010_,53.24
_040_,52.12
_029_,50.5
_016_,49.6
_081_,49.05
_087_,48.08
_075_,44.06
_154_,43.98
_164_,43.9
_062_,43.17
_120_,43.03
_021_,42.22
_004_,41.95
_024_,41.14
_051_,40.64
_161_,40.58
_163_,40.1
_088_,39.94
_031_,39.1
_061_,38.64
net25,38.36
_045_,36.16
_071_,35.66
_144_,34.8
_069_,34.02
_044_,33.88
_055_,33.22
_082_,29.86
_074_,28.8
_131_,27.92
_094_,27.89
_096_,26.02
_032_,21.78
_091_,21.26
_046_,18.6
_149_,17.3
_060_,16.56
OUT[0],14.65
_047_,14.48
OUT[7],14.37
_064_,12.88
B[2],12.72
A[0],12.57
B[3],12.26
OP[0],11.94
B[4],11.68
B[1],11.34
B[7],11.34
B[0],10.88
B[6],10.76
OP[2],10.68
_076_,10.44
B[5],10.3
_109_,9.88
_110_,9.04
OP[1],8.84
A[7],8.69
net31,7.2
A[3],6.77
_147_,6.64
OUT[1],6.21
OUT[3],6.21
OUT[5],6.21
_006_,6.18
A[1],6.09
A[6],6.09
A[5],5.97
A[2],4.95
OUT[2],4.85
OUT[4],4.85
OUT[6],4.85
A[4],4.61
_086_,4.36
