net,length_um
net2,85.855
net4,73.28
net5,67.84
net3,60.2
net1,54.8
_09_,43.1
_15_,42.92
clk,37.29
_13_,36.38
_04_,31.81
clknet_0_clk,31.74
_14_,31.14
net10,28.52
_16_,27.22
_10_,25.06
_08_,23.44
net9,23.04
_03_,21.75
_17_,21.54
_05_,21.18
clknet_1_0__leaf_clk,20.88
net7,20.82
net6,20.4
_12_,20.08
net12,19.78
net8,18.44
_07_,17.33
clknet_1_1__leaf_clk,15.38
net11,12.62
_01_,11.42
count[3],10.29
seg[0],9.61
seg[1],6.91
_06_,5.5
rst,5.41
count[2],4.83
seg[2],4.83
seg[6],4.83
_02_,4.7
seg[4],4.49
net13,4.15
count[0],3.47
count[1],3.47
seg[3],3.47
seg[5],3.47
_11_,2.46
_00_,1.7
